Symbol,Company Name,Industry,Market Cap
AME,AMETEK,Specialty Industrial Machinery,34011196931
AMED,Amedisys,Medical Care Facilities,2586907272
AMEH,Apollo Medical Holdings,Medical Care Facilities,1566712965
AMG,Affiliated Managers Group,Asset Management,5104447641
AMGN,Amgen,Drug Manufacturers - General,119379340127
AMH,American Homes 4 Rent,REIT - Residential,13944082399
AMK,AssetMark Financial Holdings,Asset Management,2103143490
AMKR,Amkor Technology,Semiconductors,5605527437
AMLI,American Lithium,Other Industrial Metals & Mining,437615328
AMLX,Amylyx Pharmaceuticals,Biotechnology,1793601763
AMN,AMN Healthcare Services,Medical Care Facilities,3822203373
AMNB,American National Bankshares,Banks - Regional,288604876
AMOT,Allied Motion Technologies,Electronic Components,578710580
AMP,Ameriprise Financial,Asset Management,31991129730
AMPE,Ampio Pharmaceuticals,Biotechnology,4032474
AMPG,AmpliTech Group,Communication Equipment,24176596
AMPH,Amphastar Pharmaceuticals,Drug Manufacturers - Specialty & Generic,2131779840
AMPL,Amplitude,Software - Application,1054849086
AMPS,Altus Power,Utilities - Renewable,702735800
AMPX,Amprius Technologies,Electrical Equipment & Parts,684871096
AMPY,Amplify Energy,Oil & Gas E&P,275527798
AMR,Alpha Metallurgical Resources,Coking Coal,2087519100
AMRC,Ameresco,Engineering & Construction,2252165694
AMRK,A-Mark Precious Metals,Capital Markets,864131290
AMRN,Amarin Corporation,Biotechnology,521839370
AMRS,Amyris,Specialty Chemicals,214428564
AMRX,Amneal Pharmaceuticals,Drug Manufacturers - Specialty & Generic,705598793
AMS,American Shared Hospital Services,Medical Care Facilities,17461340
AMSC,American Superconductor,Specialty Industrial Machinery,123731119
AMSF,AMERISAFE,Insurance - Specialty,1041655524
AMST,Amesite,Software - Application,10032106
AMSWA,American Software,Software - Application,427647191
AMT,American Tower,REIT - Specialty,88888382916
AMTB,Amerant Bancorp,Banks - Regional,611013559
AMTD,AMTD IDEA Group,Asset Management,3584014380
AMTI,Applied Molecular Transport,Biotechnology,11035081
AMTX,Aemetis,Oil & Gas Refining & Marketing,118140834
AMWD,American Woodmark,"Furnishings, Fixtures & Appliances",912945264
AMWL,American Well,Health Information Services,603868350
AMX,América Móvil,Telecom Services,68564259694
AMZN,Amazon.com,Internet Retail,1192771514880
AN,AutoNation,Auto & Truck Dealerships,6073670628
ANAB,AnaptysBio,Biotechnology,506700136
ANDE,The Andersons,Food Distribution,1345922760
ANEB,Anebulo Pharmaceuticals,Biotechnology,52804392
ANET,Arista Networks,Computer Hardware,44093305601
ANF,Abercrombie & Fitch Co.,Apparel Retail,1144255014
ANGH,Anghami,Entertainment,30686726
ANGI,Angi Inc.,Internet Content & Information,1605817390
ANGN,Angion Biomedica,Biotechnology,23789823
ANGO,AngioDynamics,Medical Instruments & Supplies,376861383
ANIK,Anika Therapeutics,Medical Devices,387449244
ANIP,ANI Pharmaceuticals,Drug Manufacturers - Specialty & Generic,913051543
ANIX,Anixa Biosciences,Biotechnology,107309403
ANNX,Annexon,Biotechnology,313176130
ANPC,AnPac Bio-Medical Science Co.,Biotechnology,27413971
ANSS,ANSYS,Software - Application,26480225606
ANTE,AirNet Technology,Telecom Services,10333633
ANTX,AN2 Therapeutics,Biotechnology,122581215
ANVS,Annovis Bio,Biotechnology,121389152
ANY,Sphere 3D,Software - Application,24362159
ANZU,Anzu Special Acquisition Corp I,Shell Companies,151469282
AOGO,Arogo Capital Acquisition,Shell Companies,140472570
AOMR,Angel Oak Mortgage,REIT - Mortgage,187838715
AON,Aon plc,Insurance Brokers,66812951520
AORT,Artivion,Medical Devices,613539754
AOS,A. O. Smith,Specialty Industrial Machinery,10293241298
AOSL,Alpha and Omega Semiconductor,Semiconductors,746320920
AOUT,American Outdoor Brands,Leisure,104754503
AP,Ampco-Pittsburgh,Metal Fabrication,60150850
APA,APA Corporation,Oil & Gas E&P,10310292857
APAC,StoneBridge Acquisition,Shell Companies,85962526
APAM,Artisan Partners Asset Management,Asset Management,2622259025
APCA,AP Acquisition,Shell Companies,229422844
APCX,AppTech Payments,Software - Infrastructure,35416557
APD,Air Products and Chemicals,Specialty Chemicals,61952328161
APDN,Applied DNA Sciences,Diagnostics & Research,14715690
APEI,American Public Education,Education & Training Services,111272808
APG,APi Group,Engineering & Construction,5428715855
APGB,Apollo Strategic Growth Capital II,Shell Companies,710700000
APGN,Apexigen,Biotechnology,9996589
APH,Amphenol,Electronic Components,45125178381
API,Agora,Software - Application,308290660
APLD,Applied Digital,Capital Markets,821940130
APLE,Apple Hospitality REIT,REIT - Hotel & Motel,3480997478
APLM,Apollomics,Biotechnology,55187128
